title,make,model,year,condition,transmission,location,price
Mercedes-Benz M Class ML 350 BlueTEC 4Matic 2012 Black,,,,local used,automatic,Ikeja,"₦ 22,500,000"
Lexus GX 460 Premium 2011 Black,Lexus,GX,,foreign used,automatic,Ikeja,"₦ 32,800,000"
Toyota Corolla 2018 Red,Toyota,Corolla,2018,foreign used,automatic,Ikeja,"₦ 17,900,000"
Lexus ES 350 FWD 2013 Gray,Lexus,ES,,foreign used,automatic,Uyo,"₦ 25,500,000"
Toyota 4-Runner SR5 4WD 2011 Black,Toyota,4-Runner,,local used,automatic,Ikeja,"₦ 26,500,000"
Lexus LX 570 2012 Black,Lexus,LX,,local used,automatic,Lekki,"₦ 65,000,000"
Mercedes-Benz GLS-Class GLS550 4Matic 2017 White,,,,foreign used,automatic,Amuwo-Odofin,"₦ 58,000,000"
Toyota Avalon Limited Sedan FWD (3.5L 6cyl 6A) 2012 White,Toyota,Avalon,,foreign used,automatic,Uyo,"₦ 16,000,000"
Lexus GX 470 Sport Utility 2008 Black,Lexus,GX,,local used,automatic,Awka,"₦ 10,500,000"
Ford Edge SEL 4dr AWD (3.5L 6cyl 6A) 2009 Gray,Ford,Edge,,local used,automatic,Ikorodu,"₦ 4,650,000"
Honda Accord 2.4 EX 2008 Silver,Honda,Accord,,local used,automatic,Gwarinpa,"₦ 5,700,000"
BMW X5 2015 White,BMW,X5,2015,foreign used,automatic,Mabushi,"₦ 45,000,000"
Toyota Highlander Limited Platinum 4dr SUV AWD (3.5L 6cyl 6A) 2015 Gold,Toyota,Highlander,,local used,automatic,Lekki,"₦ 25,000,000"
Lexus RX 350 2011 Blue,Lexus,RX,,foreign used,automatic,Apapa,"₦ 23,500,000"
Honda CR-V 2010 Gray,Honda,CR-V,2010,foreign used,automatic,Apapa,"₦ 12,800,000"
Lexus RX 2011 White,Lexus,RX,2011,foreign used,automatic,Shomolu,"₦ 21,000,000"
Toyota Sienna LE 7 Passenger 2011 Gray,Toyota,Sienna,,foreign used,automatic,Gwarinpa,"₦ 16,000,000"
BMW X5 2010 Black,BMW,X5,2010,local used,automatic,Warri,"₦ 9,600,000"
Lexus RX 350 FWD 2013 White,Lexus,RX,,foreign used,automatic,Ikeja,"₦ 25,000,000"
Toyota Corolla 2007 Red,Toyota,Corolla,2007,local used,automatic,Central Business District,"₦ 6,000,000"
Toyota Corolla LE 4dr Sedan (1.8L 4cyl 4A) 2013 Black,Toyota,Corolla,,local used,automatic,Ojodu,"₦ 8,750,000"
Toyota Highlander 2001 Black,Toyota,Highlander,2001,local used,automatic,Oshimili South,"₦ 5,300,000"
Toyota Camry 2009 Black,Toyota,Camry,2009,foreign used,automatic,Amuwo-Odofin,"₦ 10,500,000"
Lexus ES 2012 Silver,Lexus,ES,2012,foreign used,automatic,Amuwo-Odofin,"₦ 16,000,000"
Toyota Venza 2014 Black,Toyota,Venza,2014,foreign used,automatic,Apapa,"₦ 25,200,000"
Toyota RAV4 2017 Black,Toyota,RAV4,2017,foreign used,automatic,Ajah,"₦ 33,000,000"
Toyota Highlander 2018 Black,Toyota,Highlander,2018,foreign used,automatic,Apapa,"₦ 41,500,000"
Honda Element EX 2010 Silver,Honda,Element,,local used,automatic,Central Business District,"₦ 5,660,000"
Toyota Camry 2002 Blue,Toyota,Camry,2002,local used,automatic,Surulere,"₦ 4,900,000"
Toyota Hilux 2019 Black,Toyota,Hilux,2019,local used,automatic,Gbagada,"₦ 57,000,000"
Hyundai Tiburon Base 1999 Red,Hyundai,Tiburon,,local used,automatic,Awka,"₦ 2,500,000"
Toyota RAV4 Limited AWD (2.5L 4cyl 6A) 2016 Blue,Toyota,RAV4,,foreign used,automatic,Ojo,"₦ 28,100,000"
Lexus RX 350 2007 Gold,Lexus,RX,,foreign used,automatic,Ikeja,"₦ 16,500,000"
Toyota Corolla 2003 Black,Toyota,Corolla,2003,local used,automatic,Alimosho,"₦ 7,344,000"
Mercedes-Benz GLK-Class 350 2014 Red,,,,foreign used,automatic,Jahi,"₦ 25,000,000"
Toyota Corolla LE 4dr Sedan (1.8L 4cyl CVT) 2016 Silver,Toyota,Corolla,,local used,automatic,Ikeja,"₦ 9,600,000"
Toyota Highlander 2020,Toyota,Highlander,2020,foreign used,automatic,Amuwo-Odofin,"₦ 53,000,000"
Lexus ES 2020 White,Lexus,ES,2020,foreign used,automatic,Lekki,"₦ 53,000,000"
Toyota 4-Runner SR5 2WD 2012 Black,Toyota,4-Runner,,local used,automatic,Ajah,"₦ 23,000,000"
Toyota RAV4 2009 Blue,Toyota,RAV4,2009,foreign used,automatic,Magodo,"₦ 13,500,000"
Toyota Highlander 2015 Gray,Toyota,Highlander,2015,foreign used,automatic,Ikeja,"₦ 31,000,000"
Mercedes-Benz S-Class 2007 Black,,,,local used,automatic,Lokogoma,"₦ 11,800,000"
Toyota Tundra 2009 Gold,Toyota,Tundra,2009,foreign used,automatic,Amuwo-Odofin,"₦ 30,500,000"
Lexus RX 350 2015 Gray,Lexus,RX,,foreign used,automatic,Amuwo-Odofin,"₦ 29,800,000"
Toyota Camry 2.4 LE 2008 Silver,Toyota,Camry,,local used,automatic,Uyo,"₦ 7,000,000"
Honda Accord EX-L V-6 2dr Coupe FWD (3.5L 6cyl 6A) 2013 Blue,Honda,Accord,,local used,automatic,Lokogoma,"₦ 12,500,000"
Mercedes-Benz GLK-Class 350 2011 Black,,,,foreign used,automatic,Apapa,"₦ 18,500,000"
Mercedes-Benz C300 Luxury Sedan RWD (3.0L 6cyl 7A) 2010 Silver,,,,foreign used,automatic,Surulere,"₦ 12,700,000"
Acura MDX SUV 4dr AWD (3.7 6cyl 5A) 2008 Black,Acura,MDX,,foreign used,automatic,Apapa,"₦ 12,550,000"
Lexus RX 350 2010 White,Lexus,RX,,foreign used,automatic,Agege,"₦ 21,800,000"
Toyota RAV4 XLE 4dr SUV (2.5L 4cyl 6A) 2015 Gray,Toyota,RAV4,,foreign used,automatic,Ibadan,"₦ 24,850,000"
Ford F-150 2013 Gray,Ford,F-150,2013,foreign used,automatic,Amuwo-Odofin,"₦ 16,000,000"
Honda Civic 2018 Gray,Honda,Civic,2018,foreign used,automatic,Yaba,"₦ 19,000,000"
Hyundai Sonata 2015 White,Hyundai,Sonata,2015,foreign used,automatic,Ikeja,"₦ 17,500,000"
Mercedes-Benz G-Class Base G 55 AMG AWD 2003 Green,,,,local used,automatic,Ajah,"₦ 42,000,000"
Mercedes-Benz GLK-Class 2015 White,,,,foreign used,automatic,Lekki,"₦ 25,500,000"
Ford Fusion 2018 Black,Ford,Fusion,2018,foreign used,automatic,Amuwo-Odofin,"₦ 12,500,000"
Toyota Highlander Limited 2010 Black,Toyota,Highlander,,local used,automatic,Ajah,"₦ 13,000,000"
Mercedes-Benz GLK-Class 350 4MATIC 2011 Silver,,,,local used,automatic,Kaduna / Kaduna State,"₦ 11,000,000"
Toyota Matrix 2007 Gray,Toyota,Matrix,2007,local used,automatic,Ogba,"₦ 5,200,000"
Lexus ES 350 2012 White,Lexus,ES,,foreign used,automatic,Amuwo-Odofin,"₦ 14,500,000"
Hyundai Sonata 2015 Black,Hyundai,Sonata,2015,foreign used,automatic,Apapa,"₦ 17,400,000"
Jeep Wrangler Sport 4 Door 4x4 2024 Red,Jeep,Wrangler,,foreign used,automatic,Lekki,"₦ 120,000,000"
Honda Civic Sport 4dr Hatchback (1.5L 4cyl) 2017 Silver,Honda,Civic,,foreign used,automatic,Ajah,"₦ 18,500,000"
Mercedes-Benz GLE-Class 2016 Gray,,,,foreign used,automatic,Lekki,"₦ 38,500,000"
Honda Accord 2017 Gray,Honda,Accord,2017,foreign used,automatic,Apapa,"₦ 25,000,000"
Mercedes-Benz M Class 2013 Black,,,,foreign used,automatic,Lekki,"₦ 29,000,000"
Toyota Camry XSE V6 (3.5L V6 8A) 2019 Black,Toyota,Camry,,foreign used,automatic,Ikeja,"₦ 47,000,000"
Mercedes-Benz C300 2015 Brown,,,,foreign used,automatic,Apapa,"₦ 28,500,000"
Toyota Highlander Platinum 2022 Black,Toyota,Highlander,,foreign used,automatic,Apapa,"₦ 62,000,000"
Toyota Avalon Touring (3.5L 6cyl 6A) 2018 Black,Toyota,Avalon,,foreign used,automatic,Asokoro,"₦ 55,000,000"
Mercedes-Benz GLK-Class 350 4MATIC 2013 Black,,,,local used,automatic,Ikeja,"₦ 13,750,000"
Toyota Camry 2010 Gold,Toyota,Camry,2010,foreign used,automatic,Magodo,"₦ 11,500,000"
Toyota Camry SE (2.5L 4cyl 8A) 2019 White,Toyota,Camry,,foreign used,automatic,Kubwa,"₦ 32,000,000"
Toyota Corolla 2010 Gray,Toyota,Corolla,2010,local used,automatic,Ogudu,"₦ 5,770,000"
Toyota Corolla 2012 Silver,Toyota,Corolla,2012,local used,automatic,Isolo,"₦ 9,720,000"
Toyota Sienna XLE 2007 Blue,Toyota,Sienna,,local used,automatic,Owerri,"₦ 5,830,000"
Mercedes-Benz GLA 250 2016 Silver,,,,foreign used,automatic,Amuwo-Odofin,"₦ 22,500,000"
Toyota Corolla LE 4dr Sedan (1.8L 4cyl 4A) 2010 Gray,Toyota,Corolla,,local used,automatic,Nyanya,"₦ 6,500,000"
Acura MDX 2015 White,Acura,MDX,2015,foreign used,automatic,Amuwo-Odofin,"₦ 22,000,000"
Toyota Land Cruiser Prado 2022 Black,Toyota,Land,,local used,automatic,Central Business District,"₦ 78,000,000"
Hyundai Accent GS 2012 Silver,Hyundai,Accent,,foreign used,automatic,Apapa,"₦ 12,500,000"
Lexus LX 570 AWD 2018 Matt Black,Lexus,LX,,foreign used,automatic,Apapa,"₦ 145,000,000"
Mercedes-Benz GL-Class GL 450 2011 Silver,,,,foreign used,automatic,Ojodu,"₦ 13,484,799"
Toyota Corolla 2020 White,Toyota,Corolla,2020,foreign used,automatic,Ajah,"₦ 27,500,000"
Toyota 4-Runner 2015 Silver,Toyota,4-Runner,2015,foreign used,automatic,Amuwo-Odofin,"₦ 55,000,000"
Honda Pilot 2006 Black,Honda,Pilot,2006,local used,automatic,Lugbe District,"₦ 4,000,000"
Toyota Camry 2018 Blue,Toyota,Camry,2018,foreign used,automatic,Amuwo-Odofin,"₦ 22,800,000"
Hyundai Sonata 2015 Silver,Hyundai,Sonata,2015,foreign used,automatic,Gwarinpa,"₦ 19,200,000"
Mercedes-Benz C300 2016 Gray,,,,foreign used,automatic,Apapa,"₦ 27,000,000"
Lexus RX 350 AWD 2017 Blue,Lexus,RX,,foreign used,automatic,Amuwo-Odofin,"₦ 47,500,000"
Toyota Yaris 1.4 2002 Gold,Toyota,Yaris,,foreign used,manual,Amuwo-Odofin,"₦ 4,500,000"
Honda CR-V EX 4dr SUV (2.4L 4cyl 5A) 2014 Gray,Honda,CR-V,,local used,automatic,Ogudu,"₦ 9,800,000"
Mercedes-Benz GLC-Class 2016 Black,,,,foreign used,automatic,Apapa,"₦ 39,500,000"
Acura MDX 2012 Gray,Acura,MDX,2012,foreign used,automatic,Apapa,"₦ 11,000,000"
Toyota Highlander 2008 Blue,Toyota,Highlander,2008,foreign used,automatic,Ibadan,"₦ 18,360,000"
