title,make,model,year,condition,transmission,location,price
Mercedes-Benz CLK 2006 Blue,,,,local used,automatic,Ogba,"₦ 8,500,000"
Honda Accord 1999 Silver,Honda,Accord,1999,local used,automatic,Enugu,"₦ 1,980,000"
Lexus RX 330 2005 Silver,Lexus,RX,,foreign used,automatic,Apapa,"₦ 13,000,000"
Lexus RX 350 2017 Gray,Lexus,RX,,foreign used,automatic,Isolo,"₦ 48,000,000"
Toyota Camry 2008 Green,Toyota,Camry,2008,foreign used,automatic,Apapa,"₦ 10,500,000"
Lexus RX 350 2019 Gold,Lexus,RX,,foreign used,automatic,Osogbo,"₦ 60,000,000"
Toyota Sienna XLE 7 Passenger 2012 Blue,Toyota,Sienna,,local used,automatic,Surulere,"₦ 12,450,000"
Lexus RX 350 2010 Blue,Lexus,RX,,local used,automatic,Ajah,"₦ 16,000,000"
Toyota Highlander Limited 2010 Gold,Toyota,Highlander,,foreign used,automatic,Ikeja,"₦ 17,500,000"
Mercedes-Benz GLK-Class 350 4MATIC 2013 Blue,,,,foreign used,automatic,Oshimili South,"₦ 24,000,000"
Toyota Highlander Limited 2010 Black,Toyota,Highlander,,local used,automatic,Kaduna / Kaduna State,"₦ 11,000,000"
Toyota Highlander Limited 2009 Black,Toyota,Highlander,,foreign used,automatic,Ibadan,"₦ 17,000,000"
Lexus ES 350 2010 Blue,Lexus,ES,,foreign used,automatic,Amuwo-Odofin,"₦ 14,000,000"
Honda Odyssey 2.4 Absolute 2WD 2006 Blue,Honda,Odyssey,,local used,automatic,Abule Egba,"₦ 4,500,000"
Toyota Camry 2009 Black,Toyota,Camry,2009,foreign used,automatic,Surulere,"₦ 10,650,000"
Toyota Corolla 2012 Silver,Toyota,Corolla,2012,foreign used,automatic,Amuwo-Odofin,"₦ 12,700,000"
Lexus RX 350 2011 Gray,Lexus,RX,,foreign used,automatic,Apapa,"₦ 23,500,000"
Toyota Highlander Limited 2009 Gray,Toyota,Highlander,,local used,automatic,Durumi,"₦ 11,500,000"
Lexus RX 2006 White,Lexus,RX,2006,local used,automatic,Awka,"₦ 9,200,000"
Hyundai Santa Fe 2015 Silver,Hyundai,Santa,,foreign used,automatic,Ojota,"₦ 20,000,000"
Lexus RX 350 AWD 2009 Red,Lexus,RX,,foreign used,automatic,Osogbo,"₦ 14,000,000"
Toyota Camry SE V6 4dr Sedan (3.5L 6cyl 6A) 2012 Gray,Toyota,Camry,,foreign used,automatic,Ojodu,"₦ 17,000,000"
Toyota 4-Runner 2015 Black,Toyota,4-Runner,2015,local used,automatic,Ipaja,"₦ 35,000,000"
Toyota Corolla LE 2021 White,Toyota,Corolla,,foreign used,automatic,Apapa,"₦ 28,500,000"
Mercedes-Benz C300 Luxury 4dr AWD 4Matic Sedan (2.0L 4cyl 7A) 2015,,,,foreign used,automatic,Amuwo-Odofin,"₦ 26,950,000"
Lexus RX 350 2010 Gray,Lexus,RX,,local used,automatic,Ogba,"₦ 17,280,000"
Mercedes-Benz GLE-Class GLE 350 2018 Blue,,,,foreign used,automatic,Benin City,"₦ 50,000,000"
Nissan Murano S AWD 2019 Blue,Nissan,Murano,,foreign used,automatic,Central Business District,"₦ 31,000,000"
New Toyota Hilux 2023 White,New,Toyota,,new,automatic,Central Business District,"₦ 97,000,000"
Mercedes-Benz GLE-Class GLE 350 4MATIC 2020 White,,,,foreign used,automatic,Lekki,"₦ 100,000,000"
Mercedes-Benz GLE43 2017 Blue,,,,foreign used,automatic,Amuwo-Odofin,"₦ 95,000,000"
Mitsubishi Outlander 2007 Red,Mitsubishi,Outlander,2007,local used,automatic,Mabushi,"₦ 7,000,000"
Lexus GX 460 Luxury 2018 Black,Lexus,GX,,foreign used,automatic,Lekki,"₦ 68,500,000"
Toyota RAV4 XLE Premium 2022 Blue,Toyota,RAV4,,foreign used,automatic,Central Business District,"₦ 65,000,000"
New Lexus LX 2023 Black,New,Lexus,,new,automatic,Central Business District,"₦ 288,000,000"
Toyota Tundra 2024 White,Toyota,Tundra,2024,foreign used,automatic,Ikeja,"₦ 135,000,000"
Toyota Venza 2013 Black,Toyota,Venza,2013,foreign used,automatic,Ikoyi,"₦ 23,180,000"
Toyota Tundra Work Truck 2009 White,Toyota,Tundra,,local used,automatic,Amuwo-Odofin,"₦ 20,900,000"
Honda CR-V 2.0 4WD Automatic 1998 Blue,Honda,CR-V,,foreign used,automatic,Onitsha,"₦ 2,500,000"
Toyota Highlander Limited 3.5l 4WD 2013 Black,Toyota,Highlander,,foreign used,automatic,Apapa,"₦ 24,500,000"
Toyota Highlander 2010 Silver,Toyota,Highlander,2010,foreign used,automatic,Abule Egba,"₦ 18,000,000"
Toyota Hilux 2019 White,Toyota,Hilux,2019,foreign used,automatic,Port-Harcourt,"₦ 35,000,000"
Toyota Camry 2008 Black,Toyota,Camry,2008,foreign used,automatic,Apapa,"₦ 11,500,000"
Honda CR-V EX 4dr SUV AWD (1.5L 4cyl CVT) 2017 White,Honda,CR-V,,foreign used,automatic,Amuwo-Odofin,"₦ 25,000,000"
Toyota Camry LE 4dr Sedan (2.4L 4cyl 5M) 2003 Blue,Toyota,Camry,,local used,automatic,Amuwo-Odofin,"₦ 3,650,000"
Toyota Camry LE 4dr Sedan (2.4L 4cyl 5A) 2008 Gray,Toyota,Camry,,local used,automatic,Gwarinpa,"₦ 8,000,000"
Toyota Camry 2011 Blue,Toyota,Camry,2011,foreign used,automatic,Abule Egba,"₦ 13,000,000"
Lexus GX 460 Premium 2012 Black,Lexus,GX,,foreign used,automatic,Apapa,"₦ 37,000,000"
Toyota Highlander LE Plus 2019 Gray,Toyota,Highlander,,foreign used,automatic,Central Business District,"₦ 39,900,000"
Toyota RAV4 V6 2007 Red,Toyota,RAV4,,local used,automatic,Ojodu,"₦ 8,900,000"
Mercedes-Benz C300 2011 Gray,,,,local used,automatic,Katampe,"₦ 11,800,000"
Hyundai Elantra 2016 Blue,Hyundai,Elantra,2016,foreign used,automatic,Central Business District,"₦ 17,800,000"
New Changan UNI-V 2.0 Petrol FWD 2023 Gray,New,Changan,,new,automatic,Ojo,"₦ 35,000,000"
Hyundai Elantra 2013 Red,Hyundai,Elantra,2013,local used,automatic,Kaduna / Kaduna State,"₦ 8,500,000"
Toyota Camry XLE V6 4dr Sedan (3.0L 6cyl 5A) 2004 Silver,Toyota,Camry,,foreign used,automatic,Isolo,"₦ 5,500,000"
Mercedes-Benz GLE-Class 2018 White,,,,foreign used,automatic,Ikeja,"₦ 81,000,000"
Lexus RX 350 2010 White,Lexus,RX,,foreign used,automatic,Ikeja,"₦ 23,500,000"
Hyundai Elantra Limited 2011 Black,Hyundai,Elantra,,foreign used,automatic,Apapa,"₦ 10,500,000"
Mercedes-Benz M Class ML 350 4Matic 2008 Black,,,,foreign used,automatic,Amuwo-Odofin,"₦ 13,000,000"
Toyota Highlander Limited 2012 White,Toyota,Highlander,,foreign used,automatic,Apapa,"₦ 22,900,000"
Toyota Highlander 3.5L 4WD 2013 Red,Toyota,Highlander,,local used,automatic,Ika South,"₦ 13,500,000"
Peugeot 206 1.6 Tendance 2005 Red,Peugeot,206,,foreign used,automatic,Ojo,"₦ 4,850,000"
Toyota Land Cruiser 4.0 VVT-i Executive 2007 Black,Toyota,Land,,local used,automatic,Isolo,"₦ 18,000,000"
Lexus RX 350 2010 Blue,Lexus,RX,,foreign used,automatic,Ejigbo,"₦ 22,800,000"
Toyota Corolla LE 4dr Sedan (1.8L 4cyl 4A) 2010 Black,Toyota,Corolla,,local used,automatic,Kubwa,"₦ 7,000,000"
Mercedes-Benz C350 2011 White,,,,foreign used,automatic,Apapa,"₦ 13,800,000"
Toyota Yaris 1.0 2004 Silver,Toyota,Yaris,,foreign used,automatic,Zaria,"₦ 6,400,000"
Nissan Altima 2.5 2005 Gold,Nissan,Altima,,local used,automatic,Ikeja,"₦ 3,350,000"
Toyota Matrix Hatchback AWD (1.8L 4cyl 4A) 2005 Gray,Toyota,Matrix,,foreign used,automatic,Kubwa,"₦ 8,000,000"
Toyota Tacoma 2011 Silver,Toyota,Tacoma,2011,foreign used,automatic,Apapa,"₦ 23,000,000"
Toyota Camry SE 4dr Sedan (2.5L 4cyl 6A) 2014 Gray,Toyota,Camry,,local used,unknown,Lekki,"₦ 10,900,000"
Lexus ES 350 FWD 2014 White,Lexus,ES,,foreign used,automatic,Gwarinpa,"₦ 22,000,000"
Honda Accord 2014 Black,Honda,Accord,2014,local used,automatic,Ibadan,"₦ 12,980,000"
Lexus ES 350 2008 Black,Lexus,ES,,local used,automatic,Gwarinpa,"₦ 7,800,000"
Nissan Frontier S 2021 Gray,Nissan,Frontier,,foreign used,automatic,Maryland,"₦ 15,000,000"
Hyundai Elantra GLS Automatic 2012 Brown,Hyundai,Elantra,,foreign used,automatic,Alimosho,"₦ 13,500,000"
Toyota Land Cruiser 4.5 V8 VXR 2010 Black,Toyota,Land,,local used,automatic,Gwarinpa,"₦ 38,000,000"
Toyota Highlander 3.5L 4WD 2013 Black,Toyota,Highlander,,foreign used,automatic,Apapa,"₦ 23,500,000"
Toyota Highlander Platinum AWD 2020 Brown,Toyota,Highlander,,foreign used,automatic,Ikeja,"₦ 81,000,000"
Mercedes-Benz GLE-Class 2021 Gold,,,,foreign used,automatic,Ikeja,"₦ 140,000,000"
Lexus ES 2013 White,Lexus,ES,2013,local used,automatic,Gwarinpa,"₦ 16,500,000"
Toyota Tacoma 2020 White,Toyota,Tacoma,2020,foreign used,automatic,Apapa,"₦ 43,500,000"
Toyota Highlander Limited 2008 Black,Toyota,Highlander,,local used,automatic,Port-Harcourt,"₦ 9,900,000"
Mercedes-Benz CLA-Class CLA 250 4MATIC Sedan 2014 Red,,,,local used,automatic,Ogba,"₦ 14,000,000"
Honda Accord Crosstour 2010 Burgundy,Honda,Accord,,foreign used,automatic,Amuwo-Odofin,"₦ 11,400,000"
Toyota Corolla 2005 Silver,Toyota,Corolla,2005,foreign used,automatic,Apapa,"₦ 9,200,000"
Nissan Sunny 1999 Gray,Nissan,Sunny,1999,local used,manual,Ibadan,"₦ 2,500,000"
Toyota Avalon XLE FWDSedan (3.6L 6cyl 6A) 2016 Silver,Toyota,Avalon,,foreign used,automatic,Amuwo-Odofin,"₦ 23,300,000"
Cadillac Escalade 2022 Black,Cadillac,Escalade,2022,foreign used,automatic,Mabushi,"₦ 250,000,000"
Toyota RAV4 XLE FWD 2020 White,Toyota,RAV4,,foreign used,automatic,Ikeja,"₦ 46,000,000"
Toyota Camry 2013 Red,Toyota,Camry,2013,foreign used,automatic,Apapa,"₦ 16,500,000"
New Toyota Land Cruiser 2024 Black,New,Toyota,,new,automatic,Central Business District,"₦ 220,000,000"
Lexus ES 350 2008 Black,Lexus,ES,,foreign used,automatic,Osogbo,"₦ 12,800,000"
Nissan Micra 2009 Silver,Nissan,Micra,2009,local used,manual,Galadimawa,"₦ 5,800,000"
Acura MDX 2008 Silver,Acura,MDX,2008,local used,automatic,Ikeja,"₦ 7,500,000"
Lexus GX 470 2009 Black,Lexus,GX,,foreign used,automatic,Amuwo-Odofin,"₦ 21,000,000"
Mitsubishi Pajero 2011 Black,Mitsubishi,Pajero,2011,local used,automatic,Ikeja,"₦ 8,500,000"
Toyota Highlander 2018 Silver,Toyota,Highlander,2018,foreign used,automatic,Garki 2,"₦ 32,750,000"
Toyota Highlander Limited 2010 Silver,Toyota,Highlander,,foreign used,automatic,Apapa,"₦ 14,500,000"
Acura MDX 2012 Black,Acura,MDX,2012,foreign used,automatic,Apapa,"₦ 11,000,000"
Toyota Camry LE 4dr Sedan (2.5L 4cyl 6AM) 2010 Red,Toyota,Camry,,local used,automatic,Ikeja,"₦ 7,300,000"
Lexus RX 350 AWD 2016 Black,Lexus,RX,,local used,automatic,Ikorodu,"₦ 36,500,000"
Toyota Camry Automatic 1998 Gray,Toyota,Camry,,foreign used,automatic,Ikeja,"₦ 6,300,000"
Lexus RX 350 2023 Blue,Lexus,RX,,foreign used,automatic,Apapa,"₦ 165,000,000"
Mercedes-Benz C300 2013 Black,,,,foreign used,automatic,Ikeja,"₦ 16,500,000"
Toyota Venza 2014 White,Toyota,Venza,2014,foreign used,automatic,Surulere,"₦ 22,000,000"
Toyota Camry 2009 Black,Toyota,Camry,2009,local used,automatic,Awka,"₦ 7,300,000"
Kia Cerato 2013 Black,Kia,Cerato,2013,local used,automatic,Port-Harcourt,"₦ 5,850,000"
Mercedes-Benz GLK-Class 350 4MATIC 2013 Silver,,,,foreign used,automatic,Apapa,"₦ 26,000,000"
Lexus IS 250 2013 Black,Lexus,IS,,local used,automatic,Gwarinpa,"₦ 8,500,000"
Toyota Sienna LE & 1 hatch 2000 Green,Toyota,Sienna,,local used,automatic,Ojodu,"₦ 3,350,000"
Lexus RX 350 2018 White,Lexus,RX,,foreign used,automatic,Lekki,"₦ 61,000,000"
Toyota Highlander 3.5L 4WD 2013 Gray,Toyota,Highlander,,foreign used,automatic,Apapa,"₦ 18,500,000"
Mercedes-Benz M Class ML 350 4Matic 2008 Silver,,,,local used,automatic,Yaba,"₦ 7,500,000"
Hyundai Sonata 2015 Red,Hyundai,Sonata,2015,foreign used,automatic,Benin City,"₦ 17,000,000"
Toyota Blizzard 2001 Red,Toyota,Blizzard,2001,foreign used,automatic,Ojodu,"₦ 12,500,000"
Toyota Corolla 2012 Black,Toyota,Corolla,2012,local used,automatic,Ikeja,"₦ 7,100,000"
Land Rover Range Rover Sport SVR 4x4 (5.0L 8cyl 8A) 2017 Silver,Land,Rover,,local used,automatic,Asokoro,"₦ 68,000,000"
Mercedes-Benz GLE-Class GLE 350 2018 Black,,,,foreign used,automatic,Amuwo-Odofin,"₦ 42,000,000"
Toyota RAV4 2014 Black,Toyota,RAV4,2014,local used,automatic,Lekki,"₦ 15,000,000"
Mercedes-Benz C300 Sport 4Matic Sedan AWD (2.0L 4cyl 7A) 2017 Black,,,,foreign used,automatic,Surulere,"₦ 28,000,000"
Ford Transit 2012 Orange,Ford,Transit,2012,local used,manual,Egbe/Idimu,"₦ 6,000,000"
Mercedes-Benz M Class 2014 Black,,,,foreign used,automatic,Central Business District,"₦ 29,500,000"
Toyota Tacoma 2013 Black,Toyota,Tacoma,2013,foreign used,automatic,Apapa,"₦ 24,000,000"
Toyota Camry 2012 Blue,Toyota,Camry,2012,foreign used,automatic,Apapa,"₦ 15,000,000"
Lexus RX 350 AWD 2013 White,Lexus,RX,,foreign used,automatic,Apapa,"₦ 25,000,000"
Mercedes-Benz GLE-Class GLE 350 4MATIC 2020 Black,,,,foreign used,automatic,Maryland,"₦ 93,000,000"
Lexus RX 330 2004 White,Lexus,RX,,local used,automatic,Ojodu,"₦ 8,450,000"
Toyota Corolla 2005 Blue,Toyota,Corolla,2005,local used,automatic,Kaduna / Kaduna State,"₦ 6,000,000"
Chevrolet Camaro 2015 White,Chevrolet,Camaro,2015,foreign used,automatic,Amuwo-Odofin,"₦ 23,000,000"
Lexus RX 2017 Gray,Lexus,RX,2017,foreign used,automatic,Apapa,"₦ 52,900,000"
Lexus ES 2004 Blue,Lexus,ES,2004,local used,automatic,Lekki,"₦ 6,850,000"
Toyota Sienna XLE 8 Passenger 2012 Blue,Toyota,Sienna,,foreign used,automatic,Apapa,"₦ 19,500,000"
Mini Countryman Cooper S AWD ALL4 2018 Gray,Mini,Countryman,,foreign used,automatic,Ojodu,"₦ 39,000,000"
Toyota Highlander Limited V6 4x4 (3.5L 6cyl 6A) 2016 Red,Toyota,Highlander,,foreign used,automatic,Amuwo-Odofin,"₦ 28,000,000"
Toyota Sienna LE 7 Passenger 2012 Green,Toyota,Sienna,,foreign used,automatic,Amuwo-Odofin,"₦ 22,000,000"
Acura MDX 2012 Black,Acura,MDX,2012,foreign used,automatic,Apapa,"₦ 13,200,000"
Acura MDX 2013 Black,Acura,MDX,2013,foreign used,automatic,Apapa,"₦ 13,500,000"
Toyota Avalon 2016 Burgundy,Toyota,Avalon,2016,foreign used,automatic,Amuwo-Odofin,"₦ 26,000,000"
Toyota RAV4 2021 Silver,Toyota,RAV4,2021,foreign used,automatic,Amuwo-Odofin,"₦ 38,500,000"
Audi A3 Sportback 1.6 Tiptronic 2004 Black,Audi,A3,,foreign used,automatic,Port-Harcourt,"₦ 6,800,000"
Lexus GX 460 AWD 2022 Black,Lexus,GX,,foreign used,automatic,Garki 2,"₦ 100,000,000"
Mercedes-Benz GLE-Class GLE 350d 4MATIC 2016 Black,,,,foreign used,automatic,Apapa,"₦ 44,000,000"
Toyota Corolla 2010 Gold,Toyota,Corolla,2010,local used,automatic,Ikeja,"₦ 7,370,000"
Chevrolet Camaro 2015 Gold,Chevrolet,Camaro,2015,foreign used,automatic,Kubwa,"₦ 27,500,000"
Honda Ridgeline RT 4x4 Crew Cab 122 in. WB 2007 Gray,Honda,Ridgeline,,foreign used,automatic,Isolo,"₦ 13,000,000"
Lexus IS 350 2007 Blue,Lexus,IS,,local used,automatic,Ikeja,"₦ 8,450,000"
Toyota Highlander Limited AWD 2020 Black,Toyota,Highlander,,foreign used,automatic,Ojodu,"₦ 54,000,000"
Toyota Tacoma 2015 Gray,Toyota,Tacoma,2015,foreign used,automatic,Apapa,"₦ 21,850,000"
Toyota Venza 2010 White,Toyota,Venza,2010,local used,automatic,Owerri,"₦ 13,500,000"
Mercedes-Benz GLK-Class 350 4MATIC 2010 Gold,,,,foreign used,automatic,Apapa,"₦ 17,800,000"
Toyota RAV4 2015 Gray,Toyota,RAV4,2015,foreign used,automatic,Apapa,"₦ 24,000,000"
New Bestune T77 1.2 FWD 2022 Blue,New,Bestune,,new,automatic,Ikeja,"₦ 18,200,000"
Peugeot 508 GT Line 2019 White,Peugeot,508,,local used,automatic,Mabushi,"₦ 17,900,000"
Toyota Corolla 2012 Silver,Toyota,Corolla,2012,foreign used,automatic,Apapa,"₦ 13,500,000"
Mercedes-Benz M Class ML350 4dr SUV (3.5L 6cyl 7A) 2014 White,,,,foreign used,automatic,Ikeja,"₦ 29,000,000"
Lexus RX 2022 Gold,Lexus,RX,2022,foreign used,automatic,Wuse 2,"₦ 57,000,000"
Land Rover Range Rover Vogue 2015 White,Land,Rover,,foreign used,automatic,Ojodu,"₦ 47,500,000"
Mercedes-Benz GLE-Class GLE 350 2018 White,,,,foreign used,automatic,Ikeja,"₦ 50,000,000"
Mercedes-Benz C350 C 350 4MATIC AWD 2013 Black,,,,foreign used,automatic,Central Business District,"₦ 16,800,000"
Lexus RX 350 2020 Black,Lexus,RX,,foreign used,automatic,Central Business District,"₦ 63,999,999"
Toyota Tacoma Limited 2019 Gray,Toyota,Tacoma,,foreign used,automatic,Apapa,"₦ 46,500,000"
Ford Edge SE FWD 2019 Black,Ford,Edge,,foreign used,automatic,Ikeja,"₦ 36,000,000"
Toyota Venza AWD 2010 Silver,Toyota,Venza,,local used,automatic,Gwarinpa,"₦ 13,000,000"
Toyota Venza 2010 Brown,Toyota,Venza,2010,foreign used,automatic,Kaduna / Kaduna State,"₦ 21,500,000"
Lexus RX 350 F Sport AWD 2018 Blue,Lexus,RX,,local used,automatic,Central Business District,"₦ 48,500,000"
Lexus RX 350 2008 Black,Lexus,RX,,foreign used,automatic,Apapa,"₦ 16,500,000"
Toyota Camry SE 4dr Sedan (2.5L 4cyl 6A) 2013 Gray,Toyota,Camry,,local used,automatic,Agege,"₦ 9,600,000"
Toyota Highlander XLE 4dr SUV (3.5L 6cyl 6A) 2015 Blue,Toyota,Highlander,,foreign used,automatic,Ibadan,"₦ 30,050,000"
Hyundai Elantra GLS Automatic 2012 Black,Hyundai,Elantra,,local used,automatic,Ogudu,"₦ 5,800,000"
Lexus ES 2015 Black,Lexus,ES,2015,foreign used,automatic,Amuwo-Odofin,"₦ 24,850,000"
Toyota Tundra 1794 2022 Black,Toyota,Tundra,1794,foreign used,automatic,Ibadan,"₦ 163,000,000"
Lexus RX 350 2018 Black,Lexus,RX,,foreign used,automatic,Alimosho,"₦ 63,800,000"
Toyota Camry LE V6 4dr Sedan (3.5L 6cyl 6AM) 2009 Blue,Toyota,Camry,,local used,automatic,Port-Harcourt,"₦ 7,200,000"
Lexus GX 460 2012 Black,Lexus,GX,,foreign used,automatic,Ajah,"₦ 39,500,000"
Toyota Corolla LE 4dr Sedan (1.8L 4cyl CVT) 2015 Silver,Toyota,Corolla,,local used,automatic,Agege,"₦ 11,850,000"
Toyota RAV4 3.5 4x4 2010 Silver,Toyota,RAV4,,foreign used,automatic,Surulere,"₦ 11,650,000"
Mercedes-Benz GLE-Class AMG GLE 43 4MATIC 2017 Gray,,,,foreign used,automatic,Lekki,"₦ 65,000,000"
Lexus ES 350 2008 Black,Lexus,ES,,local used,automatic,Ikeja,"₦ 8,900,000"
Toyota Camry 2008 Black,Toyota,Camry,2008,foreign used,automatic,Apapa,"₦ 10,000,000"
Lexus RX 350 2010 Black,Lexus,RX,,foreign used,automatic,Amuwo-Odofin,"₦ 21,500,000"
Toyota Camry LE 4dr Sedan (2.5L 4cyl 6A) 2015 Silver,Toyota,Camry,,foreign used,automatic,Amuwo-Odofin,"₦ 17,500,000"
Toyota Venza 2011 Black,Toyota,Venza,2011,local used,automatic,Lekki,"₦ 13,700,000"
Toyota RAV4 Limited 4dr SUV AWD (2.5L 4cyl 6A) 2014 Matt Black,Toyota,RAV4,,foreign used,automatic,Ikeja,"₦ 25,000,000"
Lexus RX 2022 White,Lexus,RX,2022,foreign used,automatic,Amuwo-Odofin,"₦ 82,550,000"
Lexus RX 350 2008 Black,Lexus,RX,,foreign used,automatic,Apapa,"₦ 14,500,000"
Toyota Camry LE 4dr Sedan w/Prod. End 11/13 (2.5L 4cyl 6A) 2014 Red,Toyota,Camry,,local used,automatic,Benin City,"₦ 11,850,000"
Toyota Sienna 2002 Gold,Toyota,Sienna,2002,foreign used,automatic,Apapa,"₦ 9,800,000"
Land Rover Range Rover Evoque Pure 4x4 (2.0L 4cyl 9A) 2014,Land,Rover,,local used,automatic,Gwarinpa,"₦ 16,000,000"
Toyota Corolla LE 4dr Sedan (1.8L 4cyl 4A) 2010 Black,Toyota,Corolla,,local used,automatic,Ojodu,"₦ 7,000,000"
Toyota Venza V6 2010 White,Toyota,Venza,,foreign used,automatic,Gwarinpa,"₦ 23,000,000"
Mercedes-Benz GLK-Class 350 4MATIC 2011 White,,,,foreign used,automatic,Amuwo-Odofin,"₦ 19,500,000"
Ford Edge 2019 Black,Ford,Edge,2019,foreign used,automatic,Ikeja,"₦ 36,000,000"
Toyota Avalon XLE Plus (3.5L 6cyl 6A) 2018 Gray,Toyota,Avalon,,foreign used,automatic,Ajah,"₦ 23,000,000"
Mercedes-Benz C300 2010 Black,,,,foreign used,automatic,Alimosho,"₦ 12,050,000"
Acura MDX SUV 4dr AWD (3.7 6cyl 5A) 2009 Green,Acura,MDX,,foreign used,automatic,Apapa,"₦ 11,900,000"
Lexus RX 350L 4WD 2020 White,Lexus,RX,,foreign used,automatic,Victoria Island,"₦ 75,000,000"
Toyota Highlander Limited 2009 Green,Toyota,Highlander,,foreign used,automatic,Amuwo-Odofin,"₦ 18,000,000"
Ford F-150 2006,Ford,F-150,2006,local used,automatic,Kubwa,"₦ 8,500,000"
Mercedes-Benz E350 2016 Black,,,,foreign used,automatic,Amuwo-Odofin,"₦ 12,000,000"
Mercedes-Benz M Class ML350 4MATIC 4dr SUV AWD (3.5L 6cyl 7A) 2015,,,,foreign used,automatic,Isolo,"₦ 32,500,000"
Honda Accord LX CVT 2024 White,Honda,Accord,,foreign used,automatic,Ikeja,"₦ 48,000,000"
Toyota Sienna 2005 Gray,Toyota,Sienna,2005,foreign used,automatic,Ikeja,"₦ 13,500,000"
Toyota Camry LE V6 4dr Sedan (3.5L 6cyl 6AM) 2008 Gray,Toyota,Camry,,local used,automatic,Ogba,"₦ 7,250,000"
Toyota RAV4 2001 Silver,Toyota,RAV4,2001,local used,automatic,Abeokuta North,"₦ 5,170,000"
Honda Accord 2007 Gray,Honda,Accord,2007,local used,automatic,Yaba,"₦ 3,200,000"
Toyota Camry 2.4 LE 2008 Blue,Toyota,Camry,,local used,automatic,Surulere,"₦ 7,850,000"
Toyota Sienna LE FWD (3.3L V6 5A) 2004 Silver,Toyota,Sienna,,local used,automatic,Ajah,"₦ 5,500,000"
Toyota Land Cruiser 4.0 V6 GX-R 2015 Black,Toyota,Land,,local used,automatic,Kado,"₦ 50,000,000"
Land Rover Range Rover Velar 2019 Black,Land,Rover,,foreign used,automatic,Apapa,"₦ 95,000,000"
Mercedes-Benz C300 2015 Gray,,,,foreign used,automatic,Apapa,"₦ 33,500,000"
Mercedes-Benz E300 2017 Gray,,,,local used,automatic,Oshimili South,"₦ 40,000,000"
Toyota Highlander 2013 Red,Toyota,Highlander,2013,foreign used,automatic,Ikeja,"₦ 20,300,000"
Honda Accord 2.4 2009 Black,Honda,Accord,,local used,automatic,Surulere,"₦ 5,750,000"
Toyota Verso 2009 Gray,Toyota,Verso,2009,foreign used,manual,Onitsha,"₦ 6,800,000"
Lexus RX 350 2015 Black,Lexus,RX,,foreign used,automatic,Amuwo-Odofin,"₦ 30,800,000"
Hyundai Santa Fe GLS 4dr SUV AWD (3.3L 6cyl 6A) 2014 Black,Hyundai,Santa,,foreign used,automatic,Ogba,"₦ 18,000,000"
Volvo XC90 2.5 T 2005 White,Volvo,XC90,,local used,automatic,Mushin,"₦ 5,700,000"
Mercedes-Benz GL-Class GL 450 2012 Black,,,,local used,automatic,Port-Harcourt,"₦ 13,500,000"
Mercedes-Benz GLE-Class AMG GLE 43 4MATIC 2019 Red,,,,local used,automatic,Ajah,"₦ 62,800,000"
New Toyota Land Cruiser 3.5 Petrol 4WD 2022 Black,New,Toyota,,new,automatic,Lekki,"₦ 220,000,000"
Toyota Highlander 2016 White,Toyota,Highlander,2016,foreign used,automatic,Apapa,"₦ 35,000,000"
Lexus RX 350 2012 Silver,Lexus,RX,,foreign used,automatic,Ojodu,"₦ 27,500,000"
Lexus IS 250 2009 Black,Lexus,IS,,local used,automatic,Abeokuta South,"₦ 9,700,000"
Toyota Highlander 2015 Silver,Toyota,Highlander,2015,foreign used,automatic,Surulere,"₦ 32,850,000"
Honda Crosstour 3.5 AWD 2015 Black,Honda,Crosstour,,foreign used,automatic,Ogba,"₦ 16,500,000"
BMW M4 Competition Coupe xDrive 2021 Black,BMW,M4,,foreign used,automatic,Ogba,"₦ 184,000,000"
Toyota Land Cruiser Prado 2008 Black,Toyota,Land,,local used,automatic,Ajah,"₦ 10,700,000"
Toyota Camry LE 4dr Sedan (2.5L 4cyl 6A) 2013 White,Toyota,Camry,,foreign used,automatic,Benin City,"₦ 14,500,000"
Land Rover Lr4 Base 4x4 2016 Black,Land,Rover,,foreign used,automatic,Gwarinpa,"₦ 29,500,000"
Ford Edge 2009 White,Ford,Edge,2009,local used,automatic,Akure,"₦ 4,950,000"
Toyota Venza XLE AWD V6 2013 Blue,Toyota,Venza,,foreign used,automatic,Apapa,"₦ 19,000,000"
BMW 7 Series 2020 Gray,BMW,7,,foreign used,automatic,Lekki,"₦ 130,000,000"
Toyota Highlander V6 FWD 2004 Silver,Toyota,Highlander,,local used,automatic,Ogba,"₦ 7,000,000"
Toyota Camry 2013 Blue,Toyota,Camry,2013,local used,automatic,Kubwa,"₦ 13,500,000"
Acura MDX 2016 Red,Acura,MDX,2016,foreign used,automatic,Apapa,"₦ 23,000,000"
Lexus RX 350 2009 Black,Lexus,RX,,foreign used,automatic,Apapa,"₦ 16,000,000"
Toyota RAV4 2018 Red,Toyota,RAV4,2018,foreign used,automatic,Apapa,"₦ 35,500,000"
Mercedes-Benz GLE-Class AMG GLE 63 4MATIC 2019 Black,,,,foreign used,automatic,Mabushi,"₦ 80,000,000"
Lexus RX 350 2017 Gray,Lexus,RX,,foreign used,automatic,Amuwo-Odofin,"₦ 45,000,000"
